Participant,Window,Start,Mean_X,Std_X,Mean_Y,Std_Y
P1,minute_1,0,989.7777977532567,423.36681155747056,515.1969312715214,218.84708036970653
P1,minute_2,60,874.6741251702686,487.90966940286665,621.5493070840855,323.47739524909906
P1,minute_3,120,1068.414026442564,361.64127566800056,569.4892969135745,265.0067193273072
P1,minute_4,180,554.4030010309833,365.5492543134056,711.9246187364221,435.00446751190077
P1,minute_5,240,377.84931380632844,296.07915962579375,699.442162335055,80.9973928992126
P1,minute_6,300,815.5905956746344,483.5986078045482,612.3943661892552,155.17763567995624
P1,minute_7,360,1152.0671047009446,329.01739639163594,844.4361688686989,489.44156688741435
P1,minute_8,420,532.2574807349786,372.16395205446,627.0820146965042,166.821480562893
P1,minute_9,480,867.8153830270712,509.1444901011599,659.2947304119682,156.0817066516882
P1,minute_10,540,770.1190561181977,386.94384621205376,797.2792512224611,621.517095951508
P1,minute_11,600,601.6200965465887,481.63175544495573,657.4816589387194,119.09068577307112
P1,minute_12,660,857.9827892984451,400.6040020448537,708.4475622827862,521.2950229331632
P1,minute_13,720,388.1036364263935,297.77871265857243,662.6262396623365,106.32357154552639
P1,minute_14,780,1243.1650561764347,317.80259967684196,563.3590640111235,179.55808453055016
P1,minute_15,840,1225.9890944311999,325.98359511537154,832.9013412509756,469.02331926426183
P1,minute_16,900,1200.0389579157772,376.89014398111925,798.0700068338087,474.8164542568763
P1,minute_17,960,510.85502925730304,348.6659584178972,550.9438714338816,313.1331072992504
P1,minute_18,1020,609.2682374644647,522.4119943857305,638.4972332034633,194.19294122989368
P1,minute_19,1080,899.823132392771,300.88771030421753,821.4900858823466,525.107566214294
P2,minute_1,0,777.5004015003576,397.8057361072732,498.8334235575799,281.70812994416076
P2,minute_2,60,352.2783967032014,235.43813788348777,607.452898943416,106.4643247174097
P2,minute_3,120,456.4594469585776,259.31395458641293,557.9978343003091,114.24286852314995
P2,minute_4,180,442.4398002569518,261.4035085801837,566.2331956753075,136.8740656403367
