Participant,Window,Start,Nb_Fixations,Mean_Duration_ms
P1,minute_1,0,177,269.0426604522992
P1,minute_2,60,135,340.4523214808217
P1,minute_3,120,158,260.7214278476902
P1,minute_4,180,174,261.9391683909571
P1,minute_5,240,171,303.21590760280515
P1,minute_6,300,167,250.68842574802343
P1,minute_7,360,145,320.79162758609345
P1,minute_8,420,181,276.4377513817661
P1,minute_9,480,164,286.00433231672133
P1,minute_10,540,163,270.86122883435775
P1,minute_11,600,162,301.79953271638095
P1,minute_12,660,160,267.8686181248166
P1,minute_13,720,187,268.5671957222058
P1,minute_14,780,153,266.0095692815539
P1,minute_15,840,118,369.808777118007
P1,minute_16,900,102,389.7638401960333
P1,minute_17,960,171,296.6943976609853
P1,minute_18,1020,141,305.00401489383785
P1,minute_19,1080,94,345.32789148976826
P2,minute_1,0,180,249.53261833381322
P2,minute_2,60,182,271.7418587918465
P2,minute_3,120,167,271.2671011978995
P2,minute_4,180,191,245.54903560198102
P2,minute_5,240,181,262.2825933706365
P2,minute_6,300,189,230.4110132278431
P2,minute_7,360,160,251.6462693749927
P2,minute_8,420,139,273.4912748215653
P2,minute_9,480,133,289.10560827125283
P2,minute_10,540,162,228.93805185245512
P2,minute_11,600,181,222.2100552485134
P2,minute_12,660,171,254.46638479515127
P2,minute_13,720,211,211.42664928946166
P2,minute_14,780,161,256.1428807453709
P2,minute_15,840,189,224.04991693148222
P2,minute_16,900,195,211.19041487230703
P2,minute_17,960,155,263.3322999991717
P2,minute_18,1020,194,198.27243608313123
P2,minute_19,1080,178,215.30371629287689
P2,minute_20,1140,178,211.10648033692596
P2,minute_21,1200,137,230.93208394107157
P3,minute_1,0,187,271.7319112294976
P3,minute_2,60,165,319.9498884848573
P3,minute_3,120,192,270.9902968759804
P3,minute_4,180,165,308.43941818141576
P3,minute_5,240,168,310.7318351195149
P3,minute_6,300,186,276.6758016126771
P3,minute_7,360,178,291.2227910109115
P3,minute_8,420,176,300.08789431786334
P3,minute_9,480,147,343.58784693905284
P3,minute_10,540,180,290.54595666751266
P3,minute_11,600,173,301.11396358321514
P3,minute_12,660,150,346.77544533352057
P3,minute_13,720,112,471.17452410688355
P3,minute_14,780,165,310.23638424268273
P3,minute_15,840,163,321.74650674802393
P3,minute_16,900,160,325.6992931247689
P3,minute_17,960,168,288.6431386902751
P3,minute_18,1020,117,433.5718581201429
P3,minute_19,1080,159,329.7555339627858
P3,minute_20,1140,164,320.50618963388774
P3,minute_21,1200,172,300.3532639535707
P3,minute_22,1260,106,505.57813773543205
P3,minute_23,1320,87,394.23742183923036
P4,minute_1,0,192,240.07223281287588
P4,minute_2,60,169,279.278721302395
P4,minute_3,120,175,266.4229822852782
P4,minute_4,180,164,293.29167682977345
P4,minute_5,240,149,276.1940731547223
P4,minute_6,300,119,369.63465966409495
P4,minute_7,360,185,257.6285751352439
P4,minute_8,420,170,291.9724852940615
P4,minute_9,480,130,317.9479369236873
P4,minute_10,540,62,705.2565725796645
P4,minute_11,600,143,313.43936013925327
P4,minute_12,660,182,261.397615383942
P4,minute_13,720,180,238.1819655559129
P4,minute_14,780,119,426.2758033621211
P4,minute_15,840,160,280.04601999977604
P4,minute_16,900,94,418.60887765916107
P4,minute_17,960,182,269.71287472537915
P4,minute_18,1020,137,348.8922832118769
P4,minute_19,1080,166,292.1669313263103
P4,minute_20,1140,172,272.51190406950406
P4,minute_21,1200,114,300.5506105251741
P5,minute_1,0,173,299.19453525982493
P5,minute_2,60,168,298.80540773875657
P5,minute_3,120,154,342.54761233761326
P5,minute_4,180,169,292.6292112428232
P5,minute_5,240,199,258.8569984922008
P5,minute_6,300,164,323.13794024452204
P5,minute_7,360,162,304.10740370321787
P5,minute_8,420,181,281.03690552489206
P5,minute_9,480,160,317.9150118741207
P5,minute_10,540,169,301.1717514794254
P5,minute_11,600,154,309.3370448045142
P5,minute_12,660,181,271.0595160214776
P5,minute_13,720,164,291.35735792666674
P5,minute_14,780,181,277.5008845304587
P5,minute_15,840,168,292.96602202357633
P5,minute_16,900,149,277.3497093967943
