Participant,Window,Start,Mean_Speed
enriched,30s_1,0,850.782063231303
enriched,30s_2,30,1020.5161633947268
enriched,30s_3,60,1188.1039055794413
enriched,30s_4,90,810.9134637028176
enriched,30s_5,120,846.5916268611473
enriched,30s_6,150,1322.1755010808847
enriched,30s_7,180,1043.2862299875283
enriched,30s_8,210,1375.1526398991755
enriched,30s_9,240,668.0761036746558
enriched,30s_10,270,831.4115300986481
enriched,30s_11,300,1026.9812973633727
enriched,30s_12,330,1200.153917043404
enriched,30s_13,360,875.2222085221125
enriched,30s_14,390,971.1916970898797
enriched,30s_15,420,898.1452676839065
enriched,30s_16,450,701.3939328506955
enriched,30s_17,480,741.4418748408666
enriched,30s_18,510,1120.5344135594478
enriched,30s_19,540,855.5917202440579
enriched,30s_20,570,1367.2571060524867
enriched,30s_21,600,668.9712581017683
enriched,30s_22,630,1012.0471435518131
enriched,30s_23,660,1142.4086513342338
enriched,30s_24,690,900.5549217334449
enriched,30s_25,720,789.1502347437607
enriched,30s_26,750,860.1452895870925
enriched,30s_27,780,900.3793186776633
enriched,30s_28,810,893.8874842535779
enriched,30s_29,840,1082.8210540271104
enriched,30s_30,870,1315.0291562216582
enriched,30s_31,900,1181.0066743475209
enriched,30s_32,930,859.8351106672999
enriched,30s_33,960,1028.7384887546286
enriched,30s_34,990,774.5425469668803
enriched,30s_35,1020,755.5345852873212
enriched,30s_36,1050,1181.1412292289172
enriched,30s_37,1080,911.4609818634881
enriched,30s_38,1110,1080.8959520286699
enriched,30s_132,3930,1084.9250222915641
enriched,30s_133,3960,1235.6539390318162
enriched,30s_134,3990,923.3751520069106
enriched,30s_135,4020,983.4304259915248
enriched,30s_136,4050,1030.527228164365
enriched,30s_137,4080,1072.1893004496133
enriched,30s_138,4110,900.1982377036293
enriched,30s_139,4140,902.098920128935
enriched,30s_140,4170,1125.894626496561
enriched,30s_141,4200,995.7256241559281
enriched,30s_142,4230,1169.1723295628587
enriched,30s_143,4260,889.0161186610242
enriched,30s_144,4290,845.488173939694
enriched,30s_145,4320,1032.475433493666
enriched,30s_146,4350,1908.420059734297
enriched,30s_147,4380,1192.0425133042902
enriched,30s_148,4410,1127.89613368977
enriched,30s_149,4440,1156.0814329419777
enriched,30s_150,4470,1173.674375712769
enriched,30s_151,4500,1128.3364258377733
enriched,30s_152,4530,883.8369865940138
enriched,30s_153,4560,1361.1787880401466
enriched,30s_154,4590,1901.0704055484591
enriched,30s_155,4620,1440.8566883262174
enriched,30s_156,4650,961.5620352979954
enriched,30s_157,4680,941.2952058484884
enriched,30s_158,4710,929.8623992133529
enriched,30s_159,4740,1810.7779704735658
enriched,30s_160,4770,1808.493080773601
enriched,30s_161,4800,1417.3784289573728
enriched,30s_162,4830,1226.91759702723
enriched,30s_163,4860,1120.7117351663553
enriched,30s_164,4890,950.6529046259025
enriched,30s_165,4920,2077.8786270083406
enriched,30s_166,4950,1554.5223164852162
enriched,30s_167,4980,1391.7314207755683
enriched,30s_168,5010,1000.085959179374
enriched,30s_169,5040,1654.2308332185994
enriched,30s_170,5070,1803.8922019975462
enriched,30s_171,5100,1191.5195651732836
enriched,30s_172,5130,1073.183730197599
enriched,30s_173,5160,1587.4301594306744
enriched,30s_174,5190,1505.9678212455037
enriched,30s_372,11130,1141.043725111218
enriched,30s_373,11160,1118.8262132364268
enriched,30s_374,11190,680.6216742734922
enriched,30s_375,11220,798.6684452268985
enriched,30s_376,11250,1029.9025285754828
enriched,30s_377,11280,885.1642364748574
enriched,30s_378,11310,723.7203162997034
enriched,30s_379,11340,906.5696533044436
enriched,30s_380,11370,1259.8190706200005
enriched,30s_381,11400,1077.1835511160557
enriched,30s_382,11430,918.3925188244156
enriched,30s_383,11460,826.4002661164824
enriched,30s_384,11490,770.5812389023466
enriched,30s_385,11520,1164.9357312807401
enriched,30s_386,11550,975.8233700176311
enriched,30s_387,11580,799.5486622016779
enriched,30s_388,11610,862.0072821212583
enriched,30s_389,11640,862.9903043419821
enriched,30s_390,11670,1082.0037168870015
enriched,30s_391,11700,587.831101590581
enriched,30s_392,11730,919.0862392901597
enriched,30s_393,11760,967.2651408840292
enriched,30s_394,11790,750.4094487580115
enriched,30s_395,11820,906.0303055667213
enriched,30s_396,11850,1160.0215614380152
enriched,30s_397,11880,876.9714743928523
enriched,30s_398,11910,962.3184910909863
enriched,30s_399,11940,940.1952333737696
enriched,30s_400,11970,777.9653454528209
enriched,30s_401,12000,809.6646246055418
enriched,30s_402,12030,832.9123472846907
enriched,30s_403,12060,771.7722183108115
enriched,30s_404,12090,937.8430109212478
enriched,30s_405,12120,1318.574879374276
enriched,30s_406,12150,1134.3658177627985
enriched,30s_407,12180,1028.1815749494665
enriched,30s_408,12210,882.3066004231433
enriched,30s_409,12240,970.5552387813027
enriched,30s_410,12270,614.236370368702
enriched,30s_411,12300,650.9009929101533
enriched,30s_412,12330,753.9166496373226
enriched,30s_413,12360,686.7098563801567
enriched,30s_414,12390,1076.995621656476
enriched,30s_415,12420,715.3017210812271
enriched,30s_416,12450,774.9874090668922
enriched,30s_417,12480,1058.860259462327
enriched,30s_1184,35490,1169.3127650749589
enriched,30s_1185,35520,797.1789223953066
enriched,30s_1186,35550,968.4057222906604
enriched,30s_1187,35580,769.6121183974094
enriched,30s_1188,35610,1036.3675502706649
enriched,30s_1189,35640,1093.836171536933
enriched,30s_1190,35670,1084.8117574147302
enriched,30s_1191,35700,658.3776779811881
enriched,30s_1192,35730,805.8027501887411
enriched,30s_1193,35760,849.2533035698109
enriched,30s_1194,35790,807.754947174985
enriched,30s_1195,35820,1238.398837781189
enriched,30s_1196,35850,932.5900480177147
enriched,30s_1197,35880,913.7393864205989
enriched,30s_1198,35910,980.1568902322064
enriched,30s_1199,35940,814.3887038085849
enriched,30s_1200,35970,804.3267952289124
enriched,30s_1201,36000,1343.5657834077206
enriched,30s_1202,36030,1036.9516899665166
enriched,30s_1203,36060,1596.1333189119312
enriched,30s_1204,36090,1407.6738033130177
enriched,30s_1205,36120,875.8204890341447
enriched,30s_1206,36150,959.9310977294651
enriched,30s_1207,36180,904.4680379531253
enriched,30s_1208,36210,841.7819229120144
enriched,30s_1209,36240,1103.3523407792463
enriched,30s_1210,36270,893.3400712596994
enriched,30s_1211,36300,653.239193004361
enriched,30s_1212,36330,690.3076306259243
enriched,30s_1213,36360,1002.1676186346772
enriched,30s_1214,36390,700.4061062071734
enriched,30s_1215,36420,972.80648775121
enriched,30s_1216,36450,890.6325987194916
enriched,30s_1217,36480,886.7840093044194
enriched,30s_1218,36510,784.9869388957072
enriched,30s_1219,36540,966.9819160114981
enriched,30s_1220,36570,867.2185414768518
enriched,30s_1221,36600,790.4943958456055
enriched,30s_1222,36630,949.9616251699679
enriched,30s_1223,36660,798.2060957842107
enriched,30s_1224,36690,960.3051380623976
enriched,30s_1225,36720,1204.5637750975
simplified,30s_1,0,850.782063231303
simplified,30s_2,30,1020.5161633947268
simplified,30s_3,60,1188.1039055794413
simplified,30s_4,90,810.9134637028176
simplified,30s_5,120,846.5916268611473
simplified,30s_6,150,1322.1755010808847
simplified,30s_7,180,1043.2862299875283
simplified,30s_8,210,1375.1526398991755
simplified,30s_9,240,668.0761036746558
simplified,30s_10,270,831.4115300986481
simplified,30s_11,300,1026.9812973633727
simplified,30s_12,330,1200.153917043404
simplified,30s_13,360,875.2222085221125
simplified,30s_14,390,971.1916970898797
simplified,30s_15,420,898.1452676839065
simplified,30s_16,450,701.3939328506955
simplified,30s_17,480,741.4418748408666
simplified,30s_18,510,1120.5344135594478
simplified,30s_19,540,855.5917202440579
simplified,30s_20,570,1367.2571060524867
simplified,30s_21,600,668.9712581017683
simplified,30s_22,630,1012.0471435518131
simplified,30s_23,660,1142.4086513342338
simplified,30s_24,690,900.5549217334449
simplified,30s_25,720,789.1502347437607
simplified,30s_26,750,860.1452895870925
simplified,30s_27,780,900.3793186776633
simplified,30s_28,810,893.8874842535779
simplified,30s_29,840,1082.8210540271104
simplified,30s_30,870,1315.0291562216582
simplified,30s_31,900,1181.0066743475209
simplified,30s_32,930,859.8351106672999
simplified,30s_33,960,1028.7384887546286
simplified,30s_34,990,774.5425469668803
simplified,30s_35,1020,755.5345852873212
simplified,30s_36,1050,1181.1412292289172
simplified,30s_37,1080,911.4609818634881
simplified,30s_38,1110,1080.8959520286699
simplified,30s_132,3930,1084.9250222915641
simplified,30s_133,3960,1235.6539390318162
simplified,30s_134,3990,923.3751520069106
simplified,30s_135,4020,983.4304259915248
simplified,30s_136,4050,1030.527228164365
simplified,30s_137,4080,1072.1893004496133
simplified,30s_138,4110,900.1982377036293
simplified,30s_139,4140,902.098920128935
