Participant,Window,Start,Nb_Saccades
enriched,window_1,0,162
enriched,window_2,30,187
enriched,window_3,60,126
enriched,window_4,90,142
enriched,window_5,120,160
enriched,window_6,150,153
enriched,window_7,180,167
enriched,window_8,210,176
enriched,window_9,240,166
enriched,window_10,270,173
enriched,window_11,300,161
enriched,window_12,330,170
enriched,window_13,360,145
enriched,window_14,390,139
enriched,window_15,420,177
enriched,window_16,450,180
enriched,window_17,480,164
enriched,window_18,510,162
enriched,window_19,540,169
enriched,window_20,570,155
enriched,window_21,600,177
enriched,window_22,630,145
enriched,window_23,660,146
enriched,window_24,690,168
enriched,window_25,720,193
enriched,window_26,750,180
enriched,window_27,780,134
enriched,window_28,810,171
enriched,window_29,840,115
enriched,window_30,870,118
enriched,window_31,900,96
enriched,window_32,930,105
enriched,window_33,960,158
enriched,window_34,990,181
enriched,window_35,1020,175
enriched,window_36,1050,105
enriched,window_37,1080,98
enriched,window_38,1110,88
enriched,window_39,1140,0
enriched,window_40,1170,0
enriched,window_41,1200,0
enriched,window_42,1230,0
enriched,window_43,1260,0
enriched,window_44,1290,0
enriched,window_45,1320,0
enriched,window_46,1350,0
enriched,window_47,1380,0
enriched,window_48,1410,0
enriched,window_49,1440,0
enriched,window_50,1470,0
enriched,window_51,1500,0
enriched,window_52,1530,0
enriched,window_53,1560,0
enriched,window_54,1590,0
enriched,window_55,1620,0
enriched,window_56,1650,0
enriched,window_57,1680,0
enriched,window_58,1710,0
enriched,window_59,1740,0
enriched,window_60,1770,0
enriched,window_61,1800,0
enriched,window_62,1830,0
enriched,window_63,1860,0
enriched,window_64,1890,0
enriched,window_65,1920,0
enriched,window_66,1950,0
enriched,window_67,1980,0
enriched,window_68,2010,0
enriched,window_69,2040,0
enriched,window_70,2070,0
enriched,window_71,2100,0
enriched,window_72,2130,0
enriched,window_73,2160,0
enriched,window_74,2190,0
enriched,window_75,2220,0
enriched,window_76,2250,0
enriched,window_77,2280,0
enriched,window_78,2310,0
enriched,window_79,2340,0
enriched,window_80,2370,0
enriched,window_81,2400,0
enriched,window_82,2430,0
enriched,window_83,2460,0
enriched,window_84,2490,0
enriched,window_85,2520,0
enriched,window_86,2550,0
enriched,window_87,2580,0
enriched,window_88,2610,0
enriched,window_89,2640,0
enriched,window_90,2670,0
enriched,window_91,2700,0
enriched,window_92,2730,0
enriched,window_93,2760,0
enriched,window_94,2790,0
enriched,window_95,2820,0
enriched,window_96,2850,0
enriched,window_97,2880,0
enriched,window_98,2910,0
enriched,window_99,2940,0
enriched,window_100,2970,0
enriched,window_101,3000,0
enriched,window_102,3030,0
enriched,window_103,3060,0
enriched,window_104,3090,0
enriched,window_105,3120,0
enriched,window_106,3150,0
enriched,window_107,3180,0
enriched,window_108,3210,0
enriched,window_109,3240,0
enriched,window_110,3270,0
enriched,window_111,3300,0
enriched,window_112,3330,0
enriched,window_113,3360,0
enriched,window_114,3390,0
