Participant,Window,Start,Nb_Saccades
P1,minute_1,0,176
P1,minute_2,60,134
P1,minute_3,120,157
P1,minute_4,180,173
P1,minute_5,240,170
P1,minute_6,300,166
P1,minute_7,360,144
P1,minute_8,420,180
P1,minute_9,480,163
P1,minute_10,540,162
P1,minute_11,600,161
P1,minute_12,660,159
P1,minute_13,720,186
P1,minute_14,780,152
P1,minute_15,840,117
P1,minute_16,900,101
P1,minute_17,960,170
P1,minute_18,1020,140
P1,minute_19,1080,93
P2,minute_1,0,179
P2,minute_2,60,181
P2,minute_3,120,166
P2,minute_4,180,190
P2,minute_5,240,180
P2,minute_6,300,188
P2,minute_7,360,159
P2,minute_8,420,138
P2,minute_9,480,132
P2,minute_10,540,161
P2,minute_11,600,180
P2,minute_12,660,170
P2,minute_13,720,210
P2,minute_14,780,160
P2,minute_15,840,188
P2,minute_16,900,194
P2,minute_17,960,154
P2,minute_18,1020,193
P2,minute_19,1080,177
P2,minute_20,1140,177
P2,minute_21,1200,136
P3,minute_1,0,186
P3,minute_2,60,164
P3,minute_3,120,191
P3,minute_4,180,164
P3,minute_5,240,167
P3,minute_6,300,185
P3,minute_7,360,177
P3,minute_8,420,175
P3,minute_9,480,146
P3,minute_10,540,179
P3,minute_11,600,172
P3,minute_12,660,149
P3,minute_13,720,111
P3,minute_14,780,164
P3,minute_15,840,162
P3,minute_16,900,159
P3,minute_17,960,167
P3,minute_18,1020,116
P3,minute_19,1080,158
P3,minute_20,1140,163
P3,minute_21,1200,171
P3,minute_22,1260,105
P3,minute_23,1320,86
P4,minute_1,0,191
P4,minute_2,60,168
P4,minute_3,120,174
P4,minute_4,180,163
P4,minute_5,240,148
P4,minute_6,300,118
P4,minute_7,360,184
P4,minute_8,420,169
P4,minute_9,480,129
P4,minute_10,540,61
P4,minute_11,600,142
P4,minute_12,660,181
P4,minute_13,720,179
P4,minute_14,780,118
P4,minute_15,840,159
P4,minute_16,900,93
P4,minute_17,960,181
P4,minute_18,1020,136
P4,minute_19,1080,165
P4,minute_20,1140,171
P4,minute_21,1200,113
P5,minute_1,0,176
P5,minute_2,60,134
P5,minute_3,120,157
P5,minute_4,180,173
P5,minute_5,240,170
P5,minute_6,300,166
P5,minute_7,360,144
P5,minute_8,420,180
P5,minute_9,480,163
P5,minute_10,540,162
P5,minute_11,600,161
P5,minute_12,660,159
P5,minute_13,720,186
P5,minute_14,780,152
P5,minute_15,840,117
P5,minute_16,900,101
P5,minute_17,960,170
P5,minute_18,1020,140
P5,minute_19,1080,93
P5,minute_20,1140,0
P5,minute_21,1200,0
P5,minute_22,1260,0
P5,minute_23,1320,0
P5,minute_24,1380,0
P5,minute_25,1440,0
P5,minute_26,1500,0
P5,minute_27,1560,0
P5,minute_28,1620,0
P5,minute_29,1680,0
P5,minute_30,1740,0
P5,minute_31,1800,0
P5,minute_32,1860,0
P5,minute_33,1920,0
P5,minute_34,1980,0
P5,minute_35,2040,0
P5,minute_36,2100,0
P5,minute_37,2160,0
P5,minute_38,2220,0
P5,minute_39,2280,0
P5,minute_40,2340,0
P5,minute_41,2400,0
P5,minute_42,2460,0
P5,minute_43,2520,0
P5,minute_44,2580,0
P5,minute_45,2640,0
P5,minute_46,2700,0
P5,minute_47,2760,0
P5,minute_48,2820,0
P5,minute_49,2880,0
P5,minute_50,2940,0
P5,minute_51,3000,0
P5,minute_52,3060,0
P5,minute_53,3120,0
P5,minute_54,3180,0
P5,minute_55,3240,0
P5,minute_56,3300,0
P5,minute_57,3360,0
P5,minute_58,3420,0
P5,minute_59,3480,0
P5,minute_60,3540,0
P5,minute_61,3600,0
P5,minute_62,3660,0
P5,minute_63,3720,0
P5,minute_64,3780,0
P5,minute_65,3840,0
P5,minute_66,3900,0
P5,minute_67,3960,0
P5,minute_68,4020,0
P5,minute_69,4080,0
P5,minute_70,4140,0
P5,minute_71,4200,0
P5,minute_72,4260,0
P5,minute_73,4320,0
P5,minute_74,4380,0
P5,minute_75,4440,0
P5,minute_76,4500,0
P5,minute_77,4560,0
P5,minute_78,4620,0
P5,minute_79,4680,0
P5,minute_80,4740,0
P5,minute_81,4800,0
P5,minute_82,4860,0
P5,minute_83,4920,0
P5,minute_84,4980,0
P5,minute_85,5040,0
P5,minute_86,5100,0
P5,minute_87,5160,0
P5,minute_88,5220,0
P5,minute_89,5280,0
P5,minute_90,5340,0
P5,minute_91,5400,0
P5,minute_92,5460,0
P5,minute_93,5520,0
P5,minute_94,5580,0
P5,minute_95,5640,0
P5,minute_96,5700,0
P5,minute_97,5760,0
P5,minute_98,5820,0
P5,minute_99,5880,0
P5,minute_100,5940,0
P5,minute_101,6000,0
P5,minute_102,6060,0
P5,minute_103,6120,0
P5,minute_104,6180,0
P5,minute_105,6240,0
P5,minute_106,6300,0
P5,minute_107,6360,0
P5,minute_108,6420,0
P5,minute_109,6480,0
P5,minute_110,6540,0
P5,minute_111,6600,0
P5,minute_112,6660,0
P5,minute_113,6720,0
P5,minute_114,6780,0
P5,minute_115,6840,0
P5,minute_116,6900,0
P5,minute_117,6960,0
P5,minute_118,7020,0
P5,minute_119,7080,0
P5,minute_120,7140,0
P5,minute_121,7200,0
P5,minute_122,7260,0
P5,minute_123,7320,0
P5,minute_124,7380,0
P5,minute_125,7440,0
P5,minute_126,7500,0
P5,minute_127,7560,0
P5,minute_128,7620,0
P5,minute_129,7680,0
P5,minute_130,7740,0
P5,minute_131,7800,0
P5,minute_132,7860,0
P5,minute_133,7920,0
P5,minute_134,7980,0
P5,minute_135,8040,0
P5,minute_136,8100,0
P5,minute_137,8160,0
P5,minute_138,8220,0
P5,minute_139,8280,0
P5,minute_140,8340,0
P5,minute_141,8400,0
P5,minute_142,8460,0
P5,minute_143,8520,0
P5,minute_144,8580,0
P5,minute_145,8640,0
P5,minute_146,8700,0
P5,minute_147,8760,0
P5,minute_148,8820,0
P5,minute_149,8880,0
P5,minute_150,8940,0
P5,minute_151,9000,0
P5,minute_152,9060,0
P5,minute_153,9120,0
P5,minute_154,9180,0
P5,minute_155,9240,0
P5,minute_156,9300,0
P5,minute_157,9360,0
P5,minute_158,9420,0
P5,minute_159,9480,0
P5,minute_160,9540,0
P5,minute_161,9600,0
P5,minute_162,9660,0
P5,minute_163,9720,0
P5,minute_164,9780,0
P5,minute_165,9840,0
P5,minute_166,9900,0
P5,minute_167,9960,0
P5,minute_168,10020,0
P5,minute_169,10080,0
P5,minute_170,10140,0
P5,minute_171,10200,0
P5,minute_172,10260,0
P5,minute_173,10320,0
P5,minute_174,10380,0
P5,minute_175,10440,0
P5,minute_176,10500,0
P5,minute_177,10560,0
P5,minute_178,10620,0
P5,minute_179,10680,0
P5,minute_180,10740,0
P5,minute_181,10800,0
P5,minute_182,10860,0
P5,minute_183,10920,0
P5,minute_184,10980,0
P5,minute_185,11040,0
P5,minute_186,11100,52
P5,minute_187,11160,182
P5,minute_188,11220,165
P5,minute_189,11280,189
P5,minute_190,11340,151
P5,minute_191,11400,183
P5,minute_192,11460,185
P5,minute_193,11520,180
P5,minute_194,11580,164
P5,minute_195,11640,160
P5,minute_196,11700,186
P5,minute_197,11760,145
P5,minute_198,11820,150
P5,minute_199,11880,127
P5,minute_200,11940,159
P5,minute_201,12000,157
P5,minute_202,12060,173
P5,minute_203,12120,154
P5,minute_204,12180,112
P5,minute_205,12240,167
P5,minute_206,12300,161
P5,minute_207,12360,158
P5,minute_208,12420,110
P5,minute_209,12480,54
